timestamp,data
1724595371207419188,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371311889986,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371362019959,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371417052828,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371469378931,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371519745054,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371574987301,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371623257138,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371669884863,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371722056589,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371774683167,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371825735186,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371870860125,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371926696445,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595371978088574,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372035125800,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372081371955,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372127814519,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372179959004,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372231868328,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372282649509,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372334856338,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372343274451,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372350001701,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372357927982,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372367376373,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372369853603,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595372375077442,"array('d', [1.1997742344059422e-05, 1.1997742344059422e-05, 2.3784997980328325e-05, 1.1997742344059422e-05])"
1724595372376624864,"array('d', [0.0, 0.05799308724373522, 0.0, 0.0])"
1724595372383326229,"array('d', [0.04410559523713255, 0.0860423354371916, 0.09990941023313861, 0.0749987293395466])"
1724595372384895579,"array('d', [0.08663717087340761, 0.1420275899753131, 0.16420825826886212, 0.09955979181149856])"
1724595372390997870,"array('d', [0.1293697613156226, 0.18235705367468377, 0.21608586470445168, 0.08639889992018875])"
1724595372392457479,"array('d', [0.18897328236066308, 0.2376424399094018, 0.27422587167022466, 0.0])"
1724595372398287630,"array('d', [0.22191045288243083, 0.2580240783114653, 0.2636457573031344, 0.0949179284445943])"
1724595372405282333,"array('d', [0.28674898883692923, 0.32560757142225977, 0.27778393897871556, 0.09445969888173435])"
1724595372412912307,"array('d', [0.3381946765481326, 0.37696548617631453, 0.28874861256093914, 0.11491879639226472])"
1724595372421533809,"array('d', [0.3678821427883226, 0.4007919500380776, 0.3023898351194269, 0.1536792921717649])"
1724595372474836126,"array('d', [0.47037864514691446, 0.5099846660316092, 0.3522655024772208, 0.22855951749482548])"
1724595372506291924,"array('d', [0.5269341081764404, 0.5747211159328292, 0.4494259563066153, 0.3310370760497161])"
1724595372512417653,"array('d', [0.5787925603216211, 0.5890318967087985, 0.49048580888201904, 0.38649737673860807])"
1724595372514480449,"array('d', [0.5856045416458455, 0.5696424926472595, 0.4945631468986291, 0.41566304643018537])"
1724595372519656579,"array('d', [0.6023144499172113, 0.6005648844020565, 0.48907491647969925, 0.4054304456176572])"
1724595372521191137,"array('d', [0.5964917561196021, 0.5746956470411865, 0.5405058701213574, 0.44476999033028913])"
1724595372573539167,"array('d', [0.5603646595412692, 0.5289806704362876, 0.5192176654688401, 0.4694929170805319])"
1724595372627388160,"array('d', [0.5252297973034606, 0.488055318867162, 0.5343935466138285, 0.5369067579048473])"
1724595372680475525,"array('d', [0.4787069727140618, 0.4763019515908473, 0.48760656120615264, 0.5067987392224919])"
1724595372730711644,"array('d', [0.4090506065049463, 0.42845116636199815, 0.4198058458129183, 0.4612317347731698])"
1724595372782706699,"array('d', [0.33021112620834614, 0.3628140438381426, 0.35991395797820486, 0.38112912374311875])"
1724595372834745505,"array('d', [0.24757636008357523, 0.27466157915535105, 0.2737011283077029, 0.2982664005138107])"
1724595372880444619,"array('d', [0.1849559330557733, 0.19732728930616086, 0.19899392305844618, 0.22271640648656074])"
1724595372934790131,"array('d', [0.1295657244405756, 0.13833712652762195, 0.14160851094010218, 0.15906312118363072])"
1724595372986348252,"array('d', [0.09321719584564693, 0.05713830072339793, 0.08483161589398056, 0.10391244644189863])"
1724595373035621124,"array('d', [0.05933515049260755, 0.015984150102904007, 0.03816713375023871, 0.06787080746692856])"
1724595373089886373,"array('d', [0.0, 0.0, -0.009573777417143835, 0.0])"
1724595373174776051,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595373178232255,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595373183201299,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595373185138415,"array('d', [0.0, 0.0, 0.0, 0.0])"
