timestamp,frame_id,axes,buttons
1724595371202896350,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371302522482,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371356083503,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371405948106,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371456126309,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371507194110,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371558606656,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371609220700,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371659756148,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371711468960,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371762071440,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371813101116,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371863732607,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371915578703,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595371967971943,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372019164173,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372069259612,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372123653979,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372173128366,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372221044810,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372271615257,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372322859258,joy,"-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372337422528,joy,"-0.0,0.009304932318627834,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372345778452,joy,"-0.0,0.19093824923038483,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1724595372353160245,joy,"-0.0,0.34780338406562805,-0.0,1.0,1.0,-0.0,0.0,0.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
