timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1724595371203112760,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371303258016,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371355949595,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371406973853,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371458042487,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371508455642,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371561032323,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371610835258,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371661096535,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371714429010,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371763536726,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371814730206,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371864538558,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371916725910,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595371968357731,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372021063841,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372071686789,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372123815336,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372172991333,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372222805621,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372272536940,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372323892870,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372338824791,0.009304932318627834,-0.0,0.0,0.0,0.0,0.0
1724595372346126947,0.19093824923038483,-0.0,0.0,0.0,0.0,0.0
1724595372353937133,0.34780338406562805,-0.0,0.0,0.0,0.0,0.0
1724595372361756485,0.34780338406562805,-0.0257849283516407,0.0,0.0,0.0,0.0
1724595372362893640,0.5542048811912537,-0.0257849283516407,0.0,0.0,0.0,0.0
1724595372369371667,0.5542048811912537,-0.050553105771541595,0.0,0.0,0.0,0.0
1724595372369478232,0.7606063485145569,-0.050553105771541595,0.0,0.0,0.0,0.0
1724595372377521546,0.7606063485145569,-0.07532128691673279,0.0,0.0,0.0,0.0
1724595372378101296,0.9257275462150574,-0.07532128691673279,0.0,0.0,0.0,0.0
1724595372386185236,0.9257275462150574,-0.10834552347660065,0.0,0.0,0.0,0.0
1724595372386279040,1.0,-0.10834552347660065,0.0,0.0,0.0,0.0
1724595372393494944,1.0,-0.13311371207237244,0.0,0.0,0.0,0.0
1724595372401122887,1.0,-0.1661379486322403,0.0,0.0,0.0,0.0
1724595372409195890,1.0,-0.18265005946159363,0.0,0.0,0.0,0.0
1724595372418199377,1.0,-0.1909061223268509,0.0,0.0,0.0,0.0
1724595372468429454,1.0,-0.1909061223268509,0.0,0.0,0.0,0.0
1724595372498409810,1.0,-0.18265005946159363,0.0,0.0,0.0,0.0
1724595372506346352,1.0,-0.11660158634185791,0.0,0.0,0.0,0.0
1724595372506470208,0.5789730548858643,-0.11660158634185791,0.0,0.0,0.0,0.0
1724595372513749760,0.5789730548858643,-0.0,0.0,0.0,0.0,0.0
1724595372514747745,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372566812750,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372618925984,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372670059410,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372722100195,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372772026777,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372823326456,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372872667299,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372925155175,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595372975250146,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595373027335670,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595373078981447,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595373158376135,-0.0,-0.0,0.0,0.0,0.0,0.0
1724595373158785465,-0.0257849283516407,-0.0,0.0,0.0,0.0,0.0
1724595373162819961,-0.13311371207237244,-0.0,0.0,0.0,0.0,0.0
1724595373170884161,-0.24044248461723328,-0.0,0.0,0.0,0.0,0.0
1724595373178263975,-0.3477712571620941,-0.0,0.0,0.0,0.0,0.0
1724595373185717227,-0.4468439817428589,-0.0,0.0,0.0,0.0,0.0
1724595373194691130,-0.5211485028266907,-0.0,0.0,0.0,0.0,0.0
1724595373201479683,-0.5789409279823303,-0.0,0.0,0.0,0.0,0.0
1724595373209196742,-0.6202212572097778,-0.0,0.0,0.0,0.0,0.0
1724595373217476623,-0.6449894309043884,-0.0,0.0,0.0,0.0,0.0
